hub,plant,dist_h_p ,cost_per_unit_h_p ,train_cost_h_p ,train_cap_h_p
17201,541,922.0232509,17.09571069,60000,20000
17201,542,1160.842967,20.92375192,60000,20000
17201,543,186.9242583,5.312808937,60000,20000
17201,544,1074.699073,19.54295144,60000,20000
17201,545,1160.842967,20.92375192,60000,20000
17201,546,1135.420436,20.51625416,60000,20000
17201,9039,1060.220516,19.31087466,60000,20000
17201,9040,1134.07571,20.49469955,60000,20000
17201,9041,1097.917417,19.91511827,60000,20000
17201,9043,1060.734206,19.31910859,60000,20000
17201,9044,1141.807584,20.61863377,60000,20000
17201,9045,1026.347895,18.76793041,60000,20000
17201,9046,362.7447982,8.131036371,60000,20000
17201,9047,425.6387619,9.139163715,60000,20000
17201,9048,1069.404746,19.45808868,60000,20000
17201,9049,1049.849811,19.14464262,60000,20000
17201,9050,1036.291062,18.92730944,60000,20000
17201,9051,1071.99554,19.49961651,60000,20000
17201,9053,1106.324421,20.04987415,60000,20000
17201,9054,1113.451882,20.16412022,60000,20000
17201,9055,1124.648835,20.34359617,60000,20000
17201,9056,1103.961686,20.01200186,60000,20000
17201,9057,1132.58275,20.4707689,60000,20000
17201,9059,1111.790874,20.13749592,60000,20000
17201,9060,815.1902674,15.3832848,60000,20000
17201,9061,1015.44908,18.59323331,60000,20000
17201,9062,1018.969597,18.64966367,60000,20000
17201,9063,802.0464741,15.17260293,60000,20000
17201,9064,900.3403688,16.74815577,60000,20000
17201,9065,914.3480302,16.97268458,60000,20000
17201,9066,900.3403688,16.74815577,60000,20000
17201,9067,1015.44908,18.59323331,60000,20000
17201,9069,354.8252897,8.004094569,60000,20000
17201,9070,490.073828,10.17199339,60000,20000
17201,9071,363.164711,8.137767153,60000,20000
17201,9072,376.481558,8.351222893,60000,20000
17201,9074,350.1556787,7.929245374,60000,20000
17201,9075,357.2639526,8.043183896,60000,20000
17201,9076,363.164711,8.137767153,60000,20000
17201,9077,356.4618941,8.0303277,60000,20000
17201,9078,357.2639526,8.043183896,60000,20000
17201,9079,345.4864932,7.854403,60000,20000
17201,9080,376.481558,8.351222893,60000,20000
17201,9081,1026.82527,18.77558226,60000,20000
17201,9083,1018.971849,18.64969977,60000,20000
17201,9084,346.0186819,7.862933452,60000,20000
17201,9085,889.3952859,16.57271704,60000,20000
17201,9086,1060.220516,19.31087466,60000,20000
17201,9087,1039.339075,18.97616604,60000,20000
17201,9088,268.6924416,6.623471147,60000,20000
17201,9089,391.9970051,8.599919994,60000,20000
17201,9090,423.0807508,9.098161355,60000,20000
17201,9091,428.1252444,9.179019542,60000,20000
17201,9092,423.0807508,9.098161355,60000,20000
17201,9093,1146.55389,20.6947123,60000,20000
17201,9094,1159.610608,20.90399843,60000,20000
17201,9095,1148.335323,20.72326689,60000,20000
17201,9096,1154.437039,20.8210713,60000,20000
17201,9097,1026.347895,18.76793041,60000,20000
17201,9098,1020.55,18.67499595,60000,20000
17201,9099,298.9757983,7.108883072,60000,20000
17201,9100,1004.152954,18.4121677,60000,20000
17201,9101,330.4727667,7.613747978,60000,20000
