supplier,hub,dist_s_h,cost_per_unit_s_h ,truck_cost_s_h,truck_cap_s_h
48001,17201,219.609,40.5806912,10000,500
48001,17218,264.7658,47.66127744,10000,500
48001,17359,370.675,64.26784,10000,500
48001,17372,420.0082,72.00328576,10000,500
48001,17395,199.2915,37.3949072,10000,500
48001,17404,586.2101,98.06374368,10000,500
48001,17447,351.2873,61.22784864,10000,500
48001,17466,473.636,80.4121248,10000,500
48001,17507,317.2614,55.89258752,10000,500
48001,17592,107.0523,22.93180064,10000,500
48001,17620,395.8357,68.21303776,10000,500
48001,17679,434.5027,74.27602336,10000,500
48001,17717,160.8565,31.3682992,10000,500
48001,17784,355.5345,61.8938096,10000,500
48001,17792,229.9203,42.19750304,10000,500
48001,17822,261.3243,47.12165024,10000,500
48001,17829,325.0833,57.11906144,10000,500
48001,17896,246.384,44.7790112,10000,500
48001,17931,278.6034,49.83101312,10000,500
48001,17934,301.2357,53.37975776,10000,500
48001,17942,646.2735,107.4816848,10000,500
48001,17943,503.3451,85.07051168,10000,500
48001,17945,467.3279,79.42301472,10000,500
48001,17952,438.9728,74.97693504,10000,500
48001,18029,430.1641,73.59573088,10000,500
48001,18042,334.187,58.5465216,10000,500
48001,18063,200.4268,37.57292224,10000,500
48001,18082,457.0887,77.81750816,10000,500
48001,18127,541.8782,91.11250176,10000,500
48001,18286,112.9181,23.85155808,10000,500
48001,18288,66.4859,16.57098912,10000,500
48001,18294,131.9234,26.83158912,10000,500
48001,18303,307.1059,54.30020512,10000,500
48003,17201,747.3265,123.3267952,10000,500
48003,17218,675.2179,112.0201667,10000,500
48003,17359,894.8721,146.4619453,10000,500
48003,17372,472.3265,80.2067952,10000,500
48003,17395,666.8258,110.7042854,10000,500
48003,17404,845.2465,138.6806512,10000,500
48003,17447,992.826,161.8211168,10000,500
48003,17466,302.8691,53.63587488,10000,500
48003,17507,611.5075,102.030376,10000,500
48003,17592,663.5818,110.1956262,10000,500
48003,17620,513.9163,86.72807584,10000,500
48003,17679,824.6559,135.4520451,10000,500
48003,17717,655.1965,108.8808112,10000,500
48003,17784,552.9229,92.84431072,10000,500
48003,17792,685.7776,113.6759277,10000,500
48003,17822,608.3105,101.5290864,10000,500
48003,17829,898.0245,146.9562416,10000,500
48003,17896,524.9949,88.46520032,10000,500
48003,17931,630.3894,104.9910579,10000,500
48003,17934,457.6318,77.90266624,10000,500
48003,17942,905.3099,148.0985923,10000,500
48003,17943,815.2705,133.9804144,10000,500
48003,17945,486.6333,82.45010144,10000,500
48003,17952,380.0428,65.73671104,10000,500
48003,18029,934.9395,152.7445136,10000,500
48003,18042,777.0872,127.993273,10000,500
48003,18063,608.6455,101.5816144,10000,500
48003,18082,836.3419,137.2844099,10000,500
48003,18127,812.458,133.5394144,10000,500
48003,18286,671.684,111.4660512,10000,500
48003,18288,747.9466,123.4240269,10000,500
48003,18294,637.7638,106.1473638,10000,500
48003,18303,562.9864,94.42226752,10000,500
48005,17201,318.7267,56.12234656,10000,500
48005,17218,403.9225,69.481048,10000,500
48005,17359,301.4863,53.41905184,10000,500
48005,17372,503.6256,85.11449408,10000,500
48005,17395,301.3256,53.39385408,10000,500
48005,17404,557.667,93.5881856,10000,500
48005,17447,278.7422,49.85277696,10000,500
48005,17466,624.3127,104.0382314,10000,500
48005,17507,400.1453,68.88878304,10000,500
48005,17592,234.6358,42.93689344,10000,500
48005,17620,546.384,91.8190112,10000,500
48005,17679,414.5507,71.14754976,10000,500
48005,17717,239.2727,43.66395936,10000,500
48005,17784,506.0829,85.49979872,10000,500
48005,17792,339.7401,59.41724768,10000,500
48005,17822,358.5791,62.37120288,10000,500
48005,17829,255.8946,46.27027328,10000,500
48005,17896,436.7391,74.62669088,10000,500
48005,17931,423.7311,72.58703648,10000,500
48005,17934,451.9124,77.00586432,10000,500
48005,17942,617.7304,103.0061267,10000,500
48005,17943,474.802,80.5949536,10000,500
48005,17945,617.8762,103.0289882,10000,500
48005,17952,591.2028,98.84659904,10000,500
48005,18029,357.619,62.2206592,10000,500
48005,18042,362.6217,63.00508256,10000,500
48005,18063,350.6713,61.13125984,10000,500
48005,18082,369.4779,64.08013472,10000,500
48005,18127,513.3351,86.63694368,10000,500
48005,18286,219.5136,40.56573248,10000,500
48005,18288,176.0414,33.74929152,10000,500
48005,18294,265.1308,47.71850944,10000,500
48005,18303,404.3607,69.54975776,10000,500
48007,17201,734.7132,121.3490298,10000,500
48007,17218,672.2483,111.5545334,10000,500
48007,17359,199.1753,37.37668704,10000,500
48007,17372,437.292,74.7133856,10000,500
48007,17395,337.4537,59.05874016,10000,500
48007,17404,75.7476,18.02322368,10000,500
48007,17447,215.3154,39.90745472,10000,500
48007,17466,683.2015,113.2719952,10000,500
48007,17507,352.0482,61.34715776,10000,500
48007,17592,505.5552,85.41705536,10000,500
48007,17620,751.0748,123.9145286,10000,500
