supplier,plant,dist_s_p,cost_per_unit_s_p,truck_cost_s_p,truck_cap_s_p
48001,541,397.81945894,55.89258752,10000,500
48001,542,636.6391754,55.89258752,10000,500
48001,543,288.17167900000004,47.66127744,10000,500
48001,544,550.4952807,55.89258752,10000,500
48001,545,636.6391754,55.89258752,10000,500
48001,546,513.8816598000001,58.5465216,10000,500
48001,9039,472.070202,61.22784864,10000,500
48001,9040,439.27768580000003,57.11906144,10000,500
48001,9041,412.67484093,61.22784864,10000,500
48001,9043,409.7451052,61.22784864,10000,500
48001,9044,378.00196941,61.22784864,10000,500
48001,9045,380.72153582,57.11906144,10000,500
48001,9046,267.1403113,26.83158912,10000,500
48001,9047,191.0523,22.93180064,10000,500
48001,9048,498.56153170000005,57.11906144,10000,500
48001,9049,479.00659640000003,57.11906144,10000,500
48001,9050,458.97441360000005,57.11906144,10000,500
48001,9051,501.1523251,57.11906144,10000,500
48001,9053,633.286309,16.57098912,10000,500
48001,9054,638.2817719,16.57098912,10000,500
48001,9055,650.6401384000001,16.57098912,10000,500
48001,9056,630.9235737,16.57098912,10000,500
48001,9057,651.2616003,16.57098912,10000,500
48001,9059,638.7527616,16.57098912,10000,500
48001,9060,280.40633209,37.3949072,10000,500
48001,9061,457.8865422,57.11906144,10000,500
48001,9062,448.1263825,57.11906144,10000,500
48001,9063,277.003449,16.57098912,10000,500
48001,9064,351.6923415,16.57098912,10000,500
48001,9065,365.7000029,16.57098912,10000,500
48001,9066,351.6923415,16.57098912,10000,500
48001,9067,457.8865422,57.11906144,10000,500
48001,9069,217.78852651,26.83158912,10000,500
48001,9070,266.3363465,22.93180064,10000,500
48001,9071,220.67384837999998,26.83158912,10000,500
48001,9072,251.2553757,26.83158912,10000,500
48001,9074,222.45813748,26.83158912,10000,500
48001,9075,210.65260227,26.83158912,10000,500
48001,9076,220.67384837999998,26.83158912,10000,500
48001,9077,229.17028749999997,26.83158912,10000,500
48001,9078,210.65260227,26.83158912,10000,500
48001,9079,227.12732301,26.83158912,10000,500
48001,9080,251.2553757,26.83158912,10000,500
48001,9081,449.5086217,57.11906144,10000,500
48001,9083,446.5094542,57.11906144,10000,500
48001,9084,322.7134459,26.83158912,10000,500
48001,9085,582.4659724,16.57098912,10000,500
48001,9086,472.070202,61.22784864,10000,500
48001,9087,591.0887688,16.57098912,10000,500
48001,9088,300.19493339999997,26.83158912,10000,500
